,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
27,1,2500,-0.377842,-0.569429,-0.138124,1.02024,-0.077638,0.219107,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
28,1,2500,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,-0.937529,-1.18153,-1.279744,0.331048,-0.3573535,-1.880533
29,0,2500,-0.377842,-0.569429,-0.138124,-0.654481,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
30,0,2500,0.133993,0.113667,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
31,1,2800,0.0049965,0.113667,-0.138124,-0.654481,0.515645,1.441137,0.4963185,-0.265472,-0.6550004,-0.16008825,-1.880533
32,1,2800,-0.377842,0.113667,-0.138124,-0.200102,-0.077638,-2.444277,0.4963185,-0.265472,-0.19352,-0.3573535,-1.880533
33,1,2900,0.133993,0.346419,0.062752,0.35948,-0.106163,-0.937529,0.4963185,-1.279744,-0.19352,0.1506015,-1.880533
34,0,2900,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
35,0,2900,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
36,1,2900,-0.377842,0.113667,-0.138124,-0.200102,-0.077638,-2.444277,0.4963185,-0.265472,-0.19352,-0.3573535,1.586086
37,1,2900,0.0049965,0.113667,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,-0.6550004,-0.16008825,0.192021
38,0,3000,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
39,1,3000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.298188,1.4814455,-0.3573535,-1.880533
40,1,3000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,0.331048,-1.12374,-1.880533
41,1,3000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-1.298188,0.061716,-1.12374,-1.880533
42,1,3000,0.0049965,0.574616,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
43,1,3000,-0.377842,-0.569429,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
44,1,3000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.298188,0.0,-1.12374,-1.880533
45,1,3000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
46,1,3000,0.0049965,0.113667,-0.138124,0.35948,-0.077638,0.219107,-0.724536,-1.279744,1.4814455,0.1506015,-1.880533
47,1,3000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-1.18153,-0.265472,0.331048,0.1506015,-1.880533
48,0,3000,0.0049965,0.113667,-0.138124,-0.200102,-0.077638,0.574296,-1.18153,-1.279744,0.331048,0.1506015,-1.880533
49,0,3000,0.0049965,0.113667,-0.138124,0.35948,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
50,1,3100,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
51,0,3100,-0.031859,0.113667,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
52,0,3200,0.133993,0.113667,-0.138124,-0.200102,-0.077638,0.574296,-0.724536,-1.279744,0.331048,0.1506015,1.586086
53,1,3200,0.0049965,0.113667,-0.138124,0.35948,0.515645,0.219107,-1.672856,-0.265472,0.061716,0.1506015,-1.880533
54,1,3200,-0.377842,-0.569429,-0.138124,-0.200102,0.515645,0.219107,0.4963185,-1.279744,0.331048,-0.3573535,1.586086
55,1,3200,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.6550004,0.1506015,-1.880533
56,0,3200,0.133993,0.113667,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,0.192021
57,1,3200,-0.377842,-4.097494,-0.138124,-0.200102,0.515645,0.574296,-1.18153,-0.265472,0.331048,-0.3573535,-0.878618
58,1,3300,0.334598,0.346419,-0.138124,-0.654481,-0.106163,-0.937529,0.4963185,-0.265472,0.331048,-0.16008825,-1.880533
59,1,3300,0.334598,0.16817,0.062752,-0.200102,-0.106163,0.219107,0.0,-1.279744,0.331048,0.001992,1.586086
60,1,3400,-0.377842,0.113667,-0.138124,0.35948,-0.106163,0.219107,-0.724536,-1.279744,0.331048,-0.3573535,-1.880533
61,1,3500,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
62,1,3500,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,-0.3573535,-1.880533
63,1,3600,0.0049965,0.113667,-0.138124,0.35948,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
64,1,3600,-0.377842,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,-1.12374,-1.880533
65,0,3600,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
66,0,3600,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.574296,-1.18153,-1.279744,0.331048,0.1506015,0.192021
67,0,3600,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
68,1,3600,0.0049965,0.113667,0.062752,0.35948,-0.077638,-0.937529,-1.672856,-0.265472,0.331048,0.1506015,-1.880533
69,0,3600,0.0049965,0.113667,-0.138124,0.35948,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
70,1,3700,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,-0.3573535,1.586086
71,1,3800,-0.377842,0.346419,-0.138124,-0.200102,-0.106163,-0.937529,0.0,-1.279744,0.061716,0.1506015,-1.880533
72,0,3800,0.0049965,0.113667,-0.138124,0.35948,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
73,0,3800,-0.031859,0.113667,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,1.586086
74,0,3800,-0.377842,-0.569429,-0.138124,-0.654481,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,0.192021
75,1,3900,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
76,1,3900,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,1.4814455,-0.3573535,-1.880533
77,0,3900,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-1.279744,0.061716,0.001992,-1.880533
78,0,3900,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
79,1,3900,-0.377842,-0.569429,0.062752,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,-0.19352,0.1506015,-1.880533
80,0,4000,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
81,0,4000,0.0049965,0.113667,-0.138124,0.35948,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
82,1,4000,-0.031859,0.113667,-0.138124,-0.200102,-0.106163,0.219107,-1.18153,-0.265472,-0.6550004,0.1506015,-1.880533
83,1,4000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,0.219107,0.4963185,-0.265472,0.331048,-0.3573535,0.192021
84,1,4000,-0.377842,0.113667,-0.138124,0.35948,0.515645,-2.444277,-0.724536,-0.265472,0.061716,-0.3573535,-1.880533
85,1,4000,-0.377842,-0.569429,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
86,1,4000,-0.377842,0.113667,-0.138124,-0.200102,-0.106163,0.219107,-1.672856,-0.265472,0.331048,0.1506015,-1.880533
87,1,4000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-1.279744,0.331048,0.1506015,-1.880533
88,1,4000,-0.377842,-0.569429,0.062752,-0.200102,0.515645,0.219107,0.4963185,-1.298188,0.331048,0.1506015,-1.880533
89,1,4000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.6550004,0.1506015,-1.880533
90,1,4000,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,-0.724536,-0.265472,-0.19352,0.1506015,-1.880533
91,0,4000,0.133993,0.113667,-0.138124,-0.200102,-0.106163,1.441137,0.4963185,-1.279744,0.061716,-0.3573535,-1.880533
92,0,4000,-0.031859,-0.569429,-0.138124,1.02024,-0.106163,0.219107,0.4963185,-0.308073,0.331048,-1.12374,-1.880533
93,0,4000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
94,0,4000,0.133993,0.113667,-0.138124,-0.654481,-0.106163,1.441137,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
95,1,4000,0.133993,0.113667,-0.138124,0.35948,-0.106163,-0.937529,-1.672856,-1.279744,0.331048,-0.3573535,-1.880533
96,1,4000,0.0049965,0.113667,0.062752,-0.200102,-0.077638,1.441137,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
97,0,4000,0.133993,0.113667,-0.138124,-0.200102,-0.077638,0.574296,-0.724536,-1.279744,0.331048,0.1506015,1.586086
98,0,4000,0.133993,0.113667,-0.138124,-0.200102,-0.077638,0.574296,-1.18153,-1.279744,0.331048,0.1506015,1.586086
99,1,4100,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
100,1,4100,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,-0.937529,-1.18153,-0.265472,-0.19352,0.1506015,-1.880533
101,0,4100,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-1.279744,0.061716,0.001992,1.586086
102,0,4200,0.0049965,0.113667,-0.138124,0.35948,-0.077638,0.219107,0.4963185,-1.279744,0.061716,0.1506015,1.586086
103,1,4200,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,-0.937529,0.4963185,-0.265472,0.061716,-0.3573535,-1.880533
104,0,4200,0.133993,0.113667,0.062752,-0.654481,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.001992,-1.880533
105,0,4200,0.0049965,0.113667,0.062752,1.02024,-0.106163,0.574296,-0.724536,-0.265472,0.331048,0.1506015,-1.880533
106,0,4200,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
107,0,4200,0.0049965,0.113667,-0.138124,0.35948,-0.077638,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
108,0,4300,0.133993,0.113667,0.062752,-0.654481,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.001992,1.586086
109,0,4300,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
110,0,4300,0.133993,0.113667,-0.138124,-0.200102,-0.106163,1.441137,0.4963185,-1.279744,0.331048,-0.3573535,1.586086
111,0,4400,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-0.265472,0.331048,0.001992,1.586086
112,0,4400,-0.031859,0.113667,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
113,1,4400,0.0049965,0.113667,0.062752,0.35948,-0.077638,-0.937529,-1.672856,-0.265472,0.331048,0.1506015,1.586086
114,0,4500,0.133993,0.113667,-0.138124,-0.200102,-0.106163,-0.937529,0.4963185,-0.265472,0.331048,0.1506015,0.192021
115,0,4500,-0.031859,0.113667,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,1.586086
116,1,4500,-0.377842,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
117,0,4500,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
118,0,4500,-0.031859,-0.569429,-0.138124,1.02024,-0.106163,0.219107,0.4963185,-0.308073,0.331048,-1.12374,1.586086
119,1,4500,0.0049965,-4.097494,-0.138124,-0.200102,-0.106163,0.574296,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
120,1,4500,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,-0.19352,0.1506015,-1.880533
121,1,4500,0.133993,0.113667,0.062752,0.35948,-0.077638,0.219107,-1.672856,-0.265472,0.331048,0.001992,-1.880533
122,0,4500,0.0049965,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
123,1,4500,0.0049965,0.16817,-0.138124,0.35948,-0.106163,1.441137,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
124,1,4500,0.334598,0.346419,-0.138124,-0.200102,-0.106163,1.441137,-1.672856,-0.265472,-0.6550004,0.1506015,-1.880533
125,0,4700,0.133993,0.346419,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
126,0,4700,0.133993,0.113667,-0.138124,-0.200102,-0.106163,1.441137,0.4963185,-1.279744,0.331048,-0.3573535,1.586086
127,0,4700,0.0049965,0.113667,0.062752,1.02024,-0.106163,0.574296,0.4963185,-1.298188,0.331048,0.1506015,1.586086
128,1,4700,0.0049965,0.113667,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,0.1506015,-1.880533
129,0,4700,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
130,1,4700,-0.377842,-0.569429,-0.138124,0.35948,-0.106163,-0.937529,-1.18153,-0.265472,0.061716,0.1506015,-1.880533
131,0,4800,0.133993,0.346419,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
132,0,4800,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-0.265472,0.061716,0.001992,1.586086
133,0,4800,0.133993,0.113667,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,0.192021
134,0,4900,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-1.279744,-0.19352,0.001992,1.586086
135,0,4900,0.133993,0.113667,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
136,1,4900,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,-0.3573535,1.586086
137,0,4900,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
138,1,4900,0.0049965,0.113667,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,-0.6550004,0.1506015,-1.880533
139,0,4900,-0.031859,-0.569429,-0.138124,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
140,0,4900,-0.829828,0.009923,0.062752,-0.654481,0.515645,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
141,1,4900,0.133993,0.113667,-0.138124,-0.200102,-0.106163,-0.937529,-1.18153,-0.265472,0.061716,0.1506015,0.192021
142,0,4900,0.0049965,0.113667,0.062752,0.35948,-0.106163,0.219107,-1.672856,-1.279744,0.331048,0.001992,1.586086
143,0,4900,-0.031859,0.113667,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,1.586086
144,0,5000,-0.031859,-0.569429,-0.138124,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,1.586086
145,0,5000,0.0049965,0.113667,0.062752,1.02024,-0.106163,0.574296,0.4963185,-0.265472,0.331048,0.1506015,1.586086
146,0,5000,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
147,0,5000,-0.377842,0.113667,-0.138124,-0.654481,0.515645,0.219107,0.4963185,-1.279744,0.331048,0.1506015,0.192021
148,0,5000,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
149,1,5000,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.061716,-0.3573535,-1.880533
150,1,5000,-0.377842,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,-0.3573535,-1.880533
151,1,5000,0.334598,0.346419,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,0.331048,0.1506015,-1.880533
152,1,5000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
153,1,5000,0.133993,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
154,1,5000,0.334598,0.346419,-0.138124,-0.200102,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
155,1,5000,-0.031859,0.346419,-0.138124,-0.200102,-0.077638,0.219107,-1.18153,-0.265472,0.331048,0.1506015,-1.880533
156,1,5000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.298188,-0.19352,-0.3573535,-1.880533
157,1,5000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,-0.3573535,-1.880533
158,1,5000,-0.031859,0.113667,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
159,1,5000,0.334598,0.16817,-0.138124,-0.200102,-0.106163,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
160,1,5000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,-1.12374,-1.880533
161,1,5000,-0.031859,0.113667,-0.138124,-0.200102,0.515645,0.219107,-0.724536,-1.279744,0.331048,-0.3573535,-1.880533
162,1,5000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.6550004,-0.3573535,-1.880533
163,1,5000,-0.377842,-0.569429,-0.138124,-0.654481,-0.106163,0.219107,-0.724536,-1.279744,-0.6550004,-0.3573535,-1.880533
164,1,5000,-0.031859,0.113667,-0.138124,-0.200102,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
165,1,5000,-0.031859,0.346419,-0.138124,-0.200102,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
166,0,5000,0.133993,0.113667,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,0.1506015,-1.880533
167,0,5000,0.133993,0.113667,0.062752,-0.200102,-0.077638,0.219107,-0.724536,-1.279744,0.061716,0.1506015,-1.880533
168,0,5000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,0.219107,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
169,0,5000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,0.574296,0.4963185,-1.279744,0.331048,0.1506015,-1.880533
170,0,5000,-0.031859,-0.569429,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
171,0,5000,0.133993,0.113667,0.062752,1.02024,-0.106163,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
172,0,5000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
173,0,5000,0.133993,0.113667,0.062752,0.35948,-0.106163,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
174,0,5000,-0.031859,0.113667,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.298188,0.331048,-1.12374,-1.880533
175,1,5000,-0.031859,-0.569429,-0.138124,-0.200102,0.515645,0.219107,-1.672856,-0.265472,-0.6550004,-0.3573535,-1.880533
176,0,5000,0.133993,0.346419,0.062752,0.35948,0.515645,0.219107,0.4963185,-1.298188,-0.6550004,0.1506015,-1.880533
177,0,5000,0.0049965,0.113667,0.062752,0.35948,-0.077638,0.219107,0.4963185,-1.279744,0.061716,0.1506015,-1.880533
178,1,5000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,-2.444277,0.0,-1.279744,0.331048,0.1506015,-1.880533
179,1,5000,0.133993,0.113667,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.061716,0.001992,-1.880533
180,1,5000,0.334598,0.346419,-0.138124,-0.200102,-0.106163,1.441137,-1.672856,-0.265472,1.4814455,0.1506015,-1.880533
181,1,5000,0.133993,0.113667,0.062752,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.001992,-1.880533
182,1,5000,0.133993,0.113667,0.062752,0.35948,-0.106163,0.219107,-0.724536,-0.265472,0.331048,0.1506015,-1.880533
183,1,5000,-0.377842,-0.569429,0.062752,-0.200102,-0.106163,-0.937529,0.4963185,-1.279744,0.061716,-0.3573535,-1.880533
184,1,5000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,-2.444277,-1.18153,-0.265472,0.061716,0.1506015,-1.880533
185,1,5000,0.133993,-4.097494,0.062752,0.35948,-0.077638,-0.937529,-1.18153,-0.265472,-0.19352,0.1506015,-1.880533
186,0,5000,0.0049965,0.113667,-0.138124,0.35948,-0.077638,0.574296,0.4963185,-1.279744,0.331048,0.1506015,1.586086
187,1,5000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
188,0,5000,0.133993,0.346419,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,0.1506015,1.586086
189,0,5000,0.133993,0.113667,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
190,0,5000,0.0049965,0.113667,0.062752,1.02024,-0.106163,0.574296,-0.724536,-0.265472,0.331048,0.1506015,1.586086
191,1,5000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,-0.937529,-1.18153,-0.265472,0.331048,0.1506015,0.192021
192,0,5000,-0.031859,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,0.192021
193,0,5000,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,0.192021
194,0,5100,-0.829828,0.009923,0.062752,-0.654481,0.515645,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
195,0,5100,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-1.279744,0.061716,0.1506015,1.586086
196,0,5100,0.133993,0.113667,-0.138124,-0.200102,-0.106163,-0.937529,0.4963185,-1.279744,0.331048,-0.3573535,1.586086
197,1,5100,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
198,0,5100,-0.031859,-0.569429,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-1.279744,0.331048,0.1506015,1.586086
